Bin,Amount
0,3678
10,6029
20,4325
30,1659
40,1827
50,1665
60,1346
70,979
80,1016
90,560
100,721
110,1716
120,494
130,675
140,438
150,151
160,488
170,174
180,188
200,400
220,457
230,238
260,524
270,550
280,568
340,345
360,733
390,391
410,418
420,428
430,430
450,450
480,485
500,500
650,651
700,703
750,3008
770,773
810,814
820,824
